"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 19:38:44 GMT 2021","Sun Aug 15 19:39:00 GMT 2021","15525","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 19:40:20 GMT 2021","Sun Aug 15 19:40:26 GMT 2021","6863","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Sun Aug 15 19:39:00 GMT 2021","Sun Aug 15 19:39:36 GMT 2021","36778","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Sun Aug 15 19:38:23 GMT 2021","Sun Aug 15 19:38:44 GMT 2021","20597","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"failed","Sun Aug 15 19:39:57 GMT 2021","Sun Aug 15 19:40:20 GMT 2021","22500","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:39:36 GMT 2021","Sun Aug 15 19:39:45 GMT 2021","9016","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Sun Aug 15 19:39:45 GMT 2021","Sun Aug 15 19:39:57 GMT 2021","11609","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:40:26 GMT 2021","Sun Aug 15 19:40:37 GMT 2021","10995","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
