"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 09:14:27 GMT 2021","Mon Aug 16 09:14:49 GMT 2021","22315","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Mon Aug 16 09:14:56 GMT 2021","Mon Aug 16 09:15:07 GMT 2021","10898","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Mon Aug 16 09:14:15 GMT 2021","Mon Aug 16 09:14:27 GMT 2021","11514","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:12:57 GMT 2021","Mon Aug 16 09:13:05 GMT 2021","7596","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:14:07 GMT 2021","Mon Aug 16 09:14:15 GMT 2021","7984","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:14:49 GMT 2021","Mon Aug 16 09:14:56 GMT 2021","6831","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Mon Aug 16 09:13:30 GMT 2021","Mon Aug 16 09:14:07 GMT 2021","36722","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:13:05 GMT 2021","Mon Aug 16 09:13:30 GMT 2021","25396","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
