"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 19:31:58 GMT 2021","Sun Aug 15 19:32:08 GMT 2021","9903","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Sun Aug 15 19:31:12 GMT 2021","Sun Aug 15 19:31:20 GMT 2021","8012","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Sun Aug 15 19:31:52 GMT 2021","Sun Aug 15 19:31:58 GMT 2021","5852","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"broken","Sun Aug 15 19:30:34 GMT 2021","Sun Aug 15 19:30:35 GMT 2021","1086","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 19:31:30 GMT 2021","Sun Aug 15 19:31:52 GMT 2021","21438","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:30:23 GMT 2021","Sun Aug 15 19:30:34 GMT 2021","10789","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Sun Aug 15 19:31:20 GMT 2021","Sun Aug 15 19:31:30 GMT 2021","10644","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:30:35 GMT 2021","Sun Aug 15 19:31:12 GMT 2021","36928","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
