"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 15 19:16:07 GMT 2021","Sun Aug 15 19:16:17 GMT 2021","9969","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"broken","Sun Aug 15 19:14:26 GMT 2021","Sun Aug 15 19:14:40 GMT 2021","14457","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 19:15:18 GMT 2021","Sun Aug 15 19:15:27 GMT 2021","9021","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Sun Aug 15 19:15:39 GMT 2021","Sun Aug 15 19:16:00 GMT 2021","21545","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:14:41 GMT 2021","Sun Aug 15 19:15:18 GMT 2021","37203","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Sun Aug 15 19:15:27 GMT 2021","Sun Aug 15 19:15:39 GMT 2021","11652","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:14:10 GMT 2021","Sun Aug 15 19:14:26 GMT 2021","16103","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Sun Aug 15 19:16:00 GMT 2021","Sun Aug 15 19:16:07 GMT 2021","6876","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
