"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:29:51 GMT 2021","Mon Aug 16 09:30:06 GMT 2021","14947","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Mon Aug 16 09:29:02 GMT 2021","Mon Aug 16 09:29:11 GMT 2021","8994","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:29:11 GMT 2021","Mon Aug 16 09:29:22 GMT 2021","11641","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:29:44 GMT 2021","Mon Aug 16 09:29:51 GMT 2021","6898","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Mon Aug 16 09:27:47 GMT 2021","Mon Aug 16 09:27:59 GMT 2021","11915","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:27:59 GMT 2021","Mon Aug 16 09:28:26 GMT 2021","26702","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:28:26 GMT 2021","Mon Aug 16 09:29:02 GMT 2021","35825","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:29:22 GMT 2021","Mon Aug 16 09:29:44 GMT 2021","21555","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
