"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 19:50:06 GMT 2021","Sun Aug 15 19:50:27 GMT 2021","21425","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:50:33 GMT 2021","Sun Aug 15 19:50:44 GMT 2021","10871","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Sun Aug 15 19:49:55 GMT 2021","Sun Aug 15 19:50:06 GMT 2021","11451","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:50:27 GMT 2021","Sun Aug 15 19:50:33 GMT 2021","5779","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Sun Aug 15 19:49:09 GMT 2021","Sun Aug 15 19:49:46 GMT 2021","36917","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"broken","Sun Aug 15 19:49:08 GMT 2021","Sun Aug 15 19:49:09 GMT 2021","996","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 19:48:51 GMT 2021","Sun Aug 15 19:49:08 GMT 2021","17058","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Sun Aug 15 19:49:46 GMT 2021","Sun Aug 15 19:49:55 GMT 2021","8937","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
