"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:03:35 GMT 2021","Sun Aug 15 20:04:12 GMT 2021","36895","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"failed","Sun Aug 15 20:03:19 GMT 2021","Sun Aug 15 20:03:35 GMT 2021","15473","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 20:04:31 GMT 2021","Sun Aug 15 20:04:53 GMT 2021","21559","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 20:04:12 GMT 2021","Sun Aug 15 20:04:21 GMT 2021","9024","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"failed","Sun Aug 15 20:05:00 GMT 2021","Sun Aug 15 20:05:11 GMT 2021","11021","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Sun Aug 15 20:04:53 GMT 2021","Sun Aug 15 20:05:00 GMT 2021","6927","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Sun Aug 15 20:03:11 GMT 2021","Sun Aug 15 20:03:19 GMT 2021","8152","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Sun Aug 15 20:04:21 GMT 2021","Sun Aug 15 20:04:31 GMT 2021","10723","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
