"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:12:11 GMT 2021","Mon Aug 16 09:12:37 GMT 2021","25648","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:12:04 GMT 2021","Mon Aug 16 09:12:11 GMT 2021","7438","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:12:37 GMT 2021","Mon Aug 16 09:13:14 GMT 2021","36987","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:13:14 GMT 2021","Mon Aug 16 09:13:23 GMT 2021","9368","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:13:57 GMT 2021","Mon Aug 16 09:14:04 GMT 2021","7213","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"failed","Mon Aug 16 09:13:34 GMT 2021","Mon Aug 16 09:13:57 GMT 2021","22686","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Mon Aug 16 09:13:23 GMT 2021","Mon Aug 16 09:13:34 GMT 2021","10848","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:14:04 GMT 2021","Mon Aug 16 09:14:15 GMT 2021","11269","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
