"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 15 19:02:33 GMT 2021","Sun Aug 15 19:02:54 GMT 2021","21468","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:02:12 GMT 2021","Sun Aug 15 19:02:21 GMT 2021","8999","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Sun Aug 15 19:03:01 GMT 2021","Sun Aug 15 19:03:11 GMT 2021","9930","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"broken","Sun Aug 15 19:01:22 GMT 2021","Sun Aug 15 19:01:36 GMT 2021","13494","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Sun Aug 15 19:02:21 GMT 2021","Sun Aug 15 19:02:33 GMT 2021","11653","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:01:36 GMT 2021","Sun Aug 15 19:02:12 GMT 2021","36757","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Sun Aug 15 19:02:55 GMT 2021","Sun Aug 15 19:03:01 GMT 2021","6880","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Sun Aug 15 19:01:05 GMT 2021","Sun Aug 15 19:01:22 GMT 2021","17241","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
