"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 19:56:19 GMT 2021","Sun Aug 15 19:56:31 GMT 2021","11771","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Sun Aug 15 19:55:13 GMT 2021","Sun Aug 15 19:55:20 GMT 2021","7306","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Sun Aug 15 19:56:54 GMT 2021","Sun Aug 15 19:57:01 GMT 2021","6930","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Sun Aug 15 19:56:31 GMT 2021","Sun Aug 15 19:56:54 GMT 2021","22671","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Sun Aug 15 19:57:01 GMT 2021","Sun Aug 15 19:57:12 GMT 2021","11005","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Sun Aug 15 19:55:33 GMT 2021","Sun Aug 15 19:56:10 GMT 2021","36935","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Sun Aug 15 19:56:10 GMT 2021","Sun Aug 15 19:56:19 GMT 2021","9083","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"broken","Sun Aug 15 19:55:20 GMT 2021","Sun Aug 15 19:55:33 GMT 2021","13341","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
