"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:20:16 GMT 2021","Mon Aug 16 09:20:26 GMT 2021","9070","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:19:40 GMT 2021","Mon Aug 16 09:20:16 GMT 2021","36928","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:20:26 GMT 2021","Mon Aug 16 09:20:37 GMT 2021","11736","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:20:37 GMT 2021","Mon Aug 16 09:21:00 GMT 2021","22629","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Mon Aug 16 09:19:13 GMT 2021","Mon Aug 16 09:19:40 GMT 2021","26659","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:21:06 GMT 2021","Mon Aug 16 09:21:17 GMT 2021","11048","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Mon Aug 16 09:21:00 GMT 2021","Mon Aug 16 09:21:06 GMT 2021","5862","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Mon Aug 16 09:18:52 GMT 2021","Mon Aug 16 09:19:13 GMT 2021","20560","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
