"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:13:34 GMT 2021","Mon Aug 16 09:14:00 GMT 2021","25440","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:14:43 GMT 2021","Mon Aug 16 09:14:54 GMT 2021","10412","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:13:22 GMT 2021","Mon Aug 16 09:13:34 GMT 2021","12456","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:14:54 GMT 2021","Mon Aug 16 09:15:15 GMT 2021","21311","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Mon Aug 16 09:15:15 GMT 2021","Mon Aug 16 09:15:22 GMT 2021","6832","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Mon Aug 16 09:14:00 GMT 2021","Mon Aug 16 09:14:35 GMT 2021","35660","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:14:35 GMT 2021","Mon Aug 16 09:14:43 GMT 2021","7961","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:15:22 GMT 2021","Mon Aug 16 09:15:33 GMT 2021","10859","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
