"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:15:05 GMT 2021","Mon Aug 16 09:15:14 GMT 2021","8878","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:15:53 GMT 2021","Mon Aug 16 09:16:04 GMT 2021","10813","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Mon Aug 16 09:14:02 GMT 2021","Mon Aug 16 09:14:28 GMT 2021","26700","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:15:14 GMT 2021","Mon Aug 16 09:15:25 GMT 2021","11402","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Mon Aug 16 09:13:48 GMT 2021","Mon Aug 16 09:14:02 GMT 2021","13657","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:15:47 GMT 2021","Mon Aug 16 09:15:53 GMT 2021","5744","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"passed","Mon Aug 16 09:14:28 GMT 2021","Mon Aug 16 09:15:05 GMT 2021","36519","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:15:25 GMT 2021","Mon Aug 16 09:15:47 GMT 2021","22282","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
