"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 18:54:12 GMT 2021","Sun Aug 15 18:54:13 GMT 2021","1186","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"broken","Sun Aug 15 18:54:14 GMT 2021","Sun Aug 15 18:54:15 GMT 2021","1207","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"broken","Sun Aug 15 18:54:15 GMT 2021","Sun Aug 15 18:54:16 GMT 2021","1183","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"broken","Sun Aug 15 18:54:18 GMT 2021","Sun Aug 15 18:54:18 GMT 2021","195","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"broken","Sun Aug 15 18:54:10 GMT 2021","Sun Aug 15 18:54:12 GMT 2021","1189","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"broken","Sun Aug 15 18:54:17 GMT 2021","Sun Aug 15 18:54:18 GMT 2021","1373","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
"broken","Sun Aug 15 18:54:04 GMT 2021","Sun Aug 15 18:54:10 GMT 2021","6771","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"broken","Sun Aug 15 18:54:13 GMT 2021","Sun Aug 15 18:54:14 GMT 2021","1215","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
