"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 09:20:08 GMT 2021","Mon Aug 16 09:20:20 GMT 2021","12065","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"broken","Mon Aug 16 09:20:49 GMT 2021","Mon Aug 16 09:20:51 GMT 2021","1862","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Mon Aug 16 09:20:20 GMT 2021","Mon Aug 16 09:20:43 GMT 2021","22828","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Mon Aug 16 09:19:23 GMT 2021","Mon Aug 16 09:19:59 GMT 2021","36131","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Mon Aug 16 09:19:59 GMT 2021","Mon Aug 16 09:20:08 GMT 2021","8328","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"passed","Mon Aug 16 09:18:50 GMT 2021","Mon Aug 16 09:18:58 GMT 2021","7410","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Mon Aug 16 09:18:58 GMT 2021","Mon Aug 16 09:19:23 GMT 2021","25753","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Mon Aug 16 09:20:43 GMT 2021","Mon Aug 16 09:20:49 GMT 2021","6237","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
