"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 19:01:02 GMT 2021","Wed Sep 01 19:01:11 GMT 2021","8994","testproject","conduit_tc_006_reg_test","","","","test_conduit06",""
"failed","Wed Sep 01 19:01:51 GMT 2021","Wed Sep 01 19:02:05 GMT 2021","13977","testproject","conduit_tc_019-reg_test","","","","test_conduit19",""
"passed","Wed Sep 01 18:59:50 GMT 2021","Wed Sep 01 18:59:58 GMT 2021","8321","testproject","conduit_tc_001_reg_test","","","","test_conduit01",""
"passed","Wed Sep 01 18:59:58 GMT 2021","Wed Sep 01 19:00:25 GMT 2021","26418","testproject","conduit_tc_002_reg_test","","","","test_conduit02",""
"passed","Wed Sep 01 19:00:25 GMT 2021","Wed Sep 01 19:01:02 GMT 2021","36777","testproject","conduit_tc_004_reg_test","","","","test_conduit04",""
"passed","Wed Sep 01 19:01:22 GMT 2021","Wed Sep 01 19:01:44 GMT 2021","21499","testproject","conduit_tc_012-reg_test","","","","test_conduit12",""
"passed","Wed Sep 01 19:01:11 GMT 2021","Wed Sep 01 19:01:22 GMT 2021","11613","testproject","conduit_tc_011_reg_test","","","","test_conduit11",""
"passed","Wed Sep 01 19:01:44 GMT 2021","Wed Sep 01 19:01:51 GMT 2021","6880","testproject","conduit_tc_018_reg_test","","","","test_conduit18",""
